feature_name,group,description,data_source,raw_or_derived,missing_behavior,allowed_range,leakage_risk,computation_cost,enabled
translit_name_token_jaccard,G6_cross_script,Token Jaccard similarity after offline Brahmic transliteration to Latin,business_name,derived,0.0 if not cross-script or empty,"[0.0, 1.0]",Zero leakage; strictly offline zero-dependency romanizer,O(L),True
translit_name_char_ngram_cosine,G6_cross_script,Character 3-gram cosine after offline Brahmic transliteration to Latin,business_name,derived,0.0 if not cross-script or empty,"[0.0, 1.0]",Zero leakage,O(L),True
is_domain_name_pair,G7_domain,"Binary indicator if either name resembles a web domain (.com, .org, .net, etc.)",business_name,derived,0.0,"[0.0, 1.0]",Zero leakage; regex domain pattern matching,O(1),True
domain_compact_match,G7_domain,Exact match of compact signatures after stripping domain protocols/extensions,business_name,derived,0.0 if no domain or <5 chars,"[0.0, 1.0]",Zero leakage,O(1),True
leetspeak_exact_match,G8_leetspeak,Exact match of names after controlled internal digit-to-letter normalization,business_name,derived,0.0 if <4 chars,"[0.0, 1.0]",Zero leakage,O(L),True
accent_stripped_match,G8_leetspeak,Exact match of names after stripping Unicode accents/diacritics (NFKD),business_name,derived,0.0,"[0.0, 1.0]",Zero leakage,O(L),True
shared_rare_token_count,G4_rarity,Count of shared word tokens that are rare in the unsupervised corpus,unsupervised_corpus,derived,0.0,"[0, inf)","Zero leakage; computed from unsupervised corpus token frequencies, no labels",O(N + M),True
min_shared_token_idf,G4_rarity,Minimum corpus IDF among shared name tokens (rarity of shared evidence),unsupervised_corpus,derived,0.0 if no shared tokens,"[0.0, 15.0]",Zero leakage; derived from unsupervised corpus vocabulary document counts,O(N + M),True
retrieval_support_count,G5_provenance,Total number of independent retrieval blocks that surfaced this candidate,retrieval_pipeline,derived,1.0 (at least one block),"[1, 10]",Zero leakage; describes candidate generation mechanism only,O(1),True
retrieved_by_exact_name,G5_provenance,Binary indicator if candidate was surfaced by Exact Name block,retrieval_pipeline,derived,0.0,"[0.0, 1.0]",Zero leakage,O(1),True
retrieved_by_sorted_name,G5_provenance,Binary indicator if candidate was surfaced by Sorted Tokens block,retrieval_pipeline,derived,0.0,"[0.0, 1.0]",Zero leakage,O(1),True
retrieved_by_name_numeric,G5_provenance,Binary indicator if candidate was surfaced by Name + Numeric block,retrieval_pipeline,derived,0.0,"[0.0, 1.0]",Zero leakage,O(1),True
retrieved_by_char_ngram,G5_provenance,Binary indicator if candidate was surfaced by Boundary Char N-gram block,retrieval_pipeline,derived,0.0,"[0.0, 1.0]",Zero leakage,O(1),True
retrieved_by_domain,G5_provenance,Binary indicator if candidate was surfaced by Domain Normalization block,retrieval_pipeline,derived,0.0,"[0.0, 1.0]",Zero leakage,O(1),True
retrieved_by_tfidf,G5_provenance,Binary indicator if candidate was surfaced by Sparse TF-IDF retrieval,retrieval_pipeline,derived,0.0,"[0.0, 1.0]",Zero leakage,O(1),True
tfidf_similarity_score,G5_provenance,Cosine similarity score from TF-IDF sparse retrieval (0.0 if not retrieved via TF-IDF),retrieval_pipeline,derived,0.0,"[0.0, 1.0]",Zero leakage,O(1),True
tfidf_rank,G5_provenance,Rank position in query's top-k TF-IDF retrieval (1 to k; 1000 if not in top-k),retrieval_pipeline,derived,1000.0,"[1.0, 1000.0]",Zero leakage,O(1),True
inter_name_x_addr_jaccard,G9_interactions,Interaction product: name_token_jaccard * addr_token_jaccard,derived_interaction,derived,0.0,"[0.0, 1.0]",Zero leakage; joint similarity evidence,O(1),True
inter_name_exact_x_addr_jaccard,G9_interactions,Interaction product: name_exact_clean * addr_token_jaccard,derived_interaction,derived,0.0,"[0.0, 1.0]",Zero leakage,O(1),True
inter_name_jaccard_x_country,G9_interactions,Interaction product: name_token_jaccard * country_exact_match,derived_interaction,derived,0.0,"[0.0, 1.0]",Zero leakage,O(1),True
inter_support_x_name_jaccard,G9_interactions,Interaction: log(1 + retrieval_support_count) * name_token_jaccard,derived_interaction,derived,0.0,"[0.0, 5.0]",Zero leakage,O(1),True
